Couleur Rouge Vert Bleu
Rose 199 21 133
Rose 255 20 147
Rose 219 112 147
Rose 255 105 180
Rose 255 182 193
Rose 255 192 203
Rouge 139 0 0
Rouge 255 0 0
Rouge 178 34 34
Rouge 220 20 60
Rouge 205 92 92
Rouge 240 128 128
Rouge 250 128 114
Rouge 233 150 122
Rouge 255 160 122
Orange 255 69 0
Orange 255 99 71
Orange 255 140 0
Orange 255 127 80
Orange 255 165 0
Jaune 189 183 107
Jaune 255 215 0
Jaune 240 230 140
Jaune 255 218 185
Jaune 255 255 0
Jaune 238 232 170
Jaune 255 228 181
Jaune 255 239 213
Jaune 250 250 210
Jaune 255 250 205
Jaune 255 255 224
Marron 128 0 0
Marron 165 42 42
Marron 139 69 19
Marron 160 82 45
Marron 210 105 30
Marron 184 134 11
Marron 205 133 63
Marron 188 143 143
Marron 218 165 32
Marron 244 164 96
Marron 210 180 140
Marron 222 184 135
Marron 245 222 179
Marron 255 222 173
Marron 255 228 196
Marron 255 235 205
Marron 255 248 220
Vert 0 100 0
Vert 0 128 0
Vert 85 107 47
Vert 34 139 34
Vert 46 139 87
Vert 128 128 0
Vert 107 142 35
Vert 60 179 113
Vert 50 205 50
Vert 0 255 0
Vert 0 255 127
Vert 0 250 154
Vert 143 188 143
Vert 102 205 170
Vert 154 205 50
Vert 124 252 0
Vert 127 255 0
Vert 144 238 144
Vert 173 255 47
Vert 152 251 152
Cyan 0 128 128
Cyan 0 139 139
Cyan 32 178 170
Cyan 95 158 160
Cyan 0 206 209
Cyan 72 209 204
Cyan 64 224 208
Cyan 0 255 255
Cyan 0 255 255
Cyan 127 255 212
Cyan 175 238 238
Cyan 224 255 255
Bleu 0 0 128
Bleu 0 0 139
Bleu 0 0 205
Bleu 0 0 255
Bleu 25 25 112
Bleu 65 105 225
Bleu 70 130 180
Bleu 30 144 255
Bleu 0 191 255
Bleu 100 149 237
Bleu 135 206 235
Bleu 135 206 250
Bleu 176 196 222
Bleu 173 216 230
Bleu 176 224 230
Violet 75 0 130
Violet 128 0 128
Violet 139 0 139
Violet 148 0 211
Violet 72 61 139
Violet 138 43 226
Violet 153 50 204
Violet 255 0 255
Violet 255 0 255
Violet 106 90 205
Violet 123 104 238
Violet 186 85 211
Violet 147 112 219
Violet 218 112 214
Violet 238 130 238
Violet 221 160 221
Violet 216 191 216
Violet 230 230 250
Marron 255 228 225
Jaune 250 235 215
Jaune 250 240 230
Vert 245 245 220
Rose 255 240 245
Jaune 253 245 230
Cyan 240 248 255
Jaune 255 245 238
Vert 240 255 240
Jaune 255 250 240
Cyan 240 255 255
Cyan 245 255 250
Jaune 255 255 240
Gris 47 79 79
Gris 105 105 105
Gris 112 128 144
Gris 128 128 128
Gris 119 136 153
Gris 169 169 169
Gris 192 192 192
Gris 211 211 211
Gris 220 220 220
 
